id,title,artist,year,spotify

1,Wann Wird's Mal Wieder Richtig Sommer | Wann Wird Es Mal Wieder Richtig Sommer,Rudi Carrell,1975,59VR9MekNIMRLxQYfSn3Qr
2,You Can Call Me AI,Paul Simon,1986,0qxYx4F3vm1AOnfux6dDxP
3,Start Me Up,The Rolling Stones,1981,7HKez549fwJQDzx3zLjHKC
4,The Twist,Chubby Checker,1960,6DSvUZQdqtNfkJI4cAiUsM
5,Blurred Lines (feat. T.I. & Pharrell Williams) | Blurred Lines,Robin Thicke,2013,2pgbGOb00WrlXY3ZRFKn7v
6,Hangover (feat. Flo Rida) | Hangover,Taio Cruz,2011,23TrBtndcavtlYBQg5GoR8
7,One More Time,Daft Punk,2000,2Uy6EhQXAYkXA6MohPgjpV
8,China In Your Hand,T'Pau,1987,3U9B0ZcnVPisVh9wGOg6qL
9,The Best,Tina Turner,1989,6pPWRBubXOBAHnjl5ZIujB
10,The Hustle,Van McCoy & the Soul City Symphony | Van McCoy,1975,2yDXsPUm95218qlAQfnilm
11,Piece Of My Heart,Erma Franklin,1967,2GbePPrWWSRxcmW6QRSPae
12,Hunrgy Eyes,Eric Carmen,1987,7eafuv44YprITfOdzfVLoU
13,Karma Chameleon,Culture Club,1983,3XDeeP9wBZzGhIPZmLfEEx
14,99 Luftballons,Nena,1983,4ZhPLoMzZwewHLLjV1J15c
15,Beinhart,Torfrock,1990,2zygsl5Awjq2CuJc1L55x0
16,In Da Club,50 Cent,2003,7iL6o9tox1zgHpKUfh9vuC
17,Don't Go,Yazoo,1982,5JOVSWohrjXW0BFTboh8XO
18,I Wanna Dance With Somebody (Who Loves Me) | I Wanna Dance With Somebody,Whitney Houston,1987,2tUBqZG2AbRi7Q0BIrVrEj
19,7 Years,Lukas Graham,2015,5kqIPrATaCc2LqxVWzQGbk
20,Sugar-Baby,Peter Kraus,1999,6OnOIWxhezuZjF4APOl7oF
21,Lean On (feat. DJ Snake & MØ) | Lean On,Major Lazer,2015,2YWjW3wwQIBLNhxWKBQd16
22,Einmal Um Die Welt,CRO,2011,2L6hCTpUlR2p7Su3hiSB0s
23,Ich Will Keine Schokolade,Trude Herr,1959,2uwDgQNRc1zS5khCPVM0jl
24,80 Millionen,Max Giesinger,2016,4EB11zPPq3jDbhnwWpzFL9
25,Friday I'm In Love,The Cure,1992,4QlzkaRHtU8gAdwqjWmO8n
26,What Is Love,Haddaway,1993,2IHaGyfxNoFPLJnaEg4GTs
27,Auf Uns,Andreas Bourani,2014,6dXt4t5jgySnVTeTpT4C0l
28,Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue
29,Orinoco Flow,Enya,1988,0Fyj9w0HVfjoxm9S8nGClt
30,Über Den Wolken,Reinhard Mey,1974,5JSzcnZbYk3qv3nEn5Bo41
31,Rehab,Amy Winehouse,2006,3N4DI1vuTSX1tz7fa2NQZw
32,Liebeskummer Lohnt Sich Nicht,Siw Malmkvist,1964,3DMk51IjcSdYmUT51QWfm1
33,You Make Me Feel (Mighty Real) | You Make Me Feel,Sylvester,1978,0RnCUYXa7jhgTXtiMXF2PQ
34,Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg
35,He Ain't Heavy He's My Brother,The Hollies,1969,6f5sSC3ORfpUMYtE4J06VW
36,Eine Neue Liebe Ist Wie Ein Neues Leben,Jürgen Marcus,1972,0oH9kW4faMsq9YgRYirgD0
37,Manic Monday,The Bangles,1985,798fUF6UnRn27xiVuKyJCi
38,Paradise By The Dashboard Light,Meat Loaf,1977,2g7gviEeJr6pyxO7G35EWQ
39,Never Ending Story,Limahl,1984,1F43XlPBiwAUUIhrUGzylO
40,Don't Call Me Up,Mabel,2019,5Xc9L411IGVexidbaF7CHG
41,Under The Bridge,Red Hot Chili Peppers,1991,3d9DChrdc6BOeFsbrZ3Is0
42,König Von Deutschland,Rio Reiser,1986,4Hg99jQ6zjks47xaH8eK40
43,Upside Down,Diana Ross,1980,6NJNZEjyCD2YWFPsBzIHnM
44,Don't Speak,No Doubt,1995,6JGQ98So2ik5GVI9ydQ2Yh
45,(I Can't Get No) Satisfaction,The Rolling Stones,1965,1b6AW6uDrtrUN0Y6GJR45j
